standard_code,level,points,dimension,theme,good_practice,action,verification_detail,verification_medium,link,valid_answers,linked_resources
A001,Fundamental,5,Ambiente,Agua,Gestionar los recursos hídricos en la planta,"La planta registra mensualmente el consumo de agua en las plantas, especificando la fuente de abastecimiento y su uso.","Registro de consumo de agua mensual con la siguiente información: - Fuente de abastecimiento disponible (canal, pozo, suministro de agua potable, red aljibe, etc.). - Consumo mensual por de cada fuente (m3). - Tipo de uso dentro de la línea de proceso de cada una de las fuentes.",Bitácora,https://ciruelacertificada.cl/?s=A001&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[68, 203, 338, 475]"
A002,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en la planta,"La planta capacita a las personas tomadoras de decisiones en el ámbito hídrico, abordando estrategias para la gestión eficiente del recurso.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada) o certificado de participación en instancias de capacitación externa (cursos, seminarios, congresos, etc.). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",Foto,https://ciruelacertificada.cl/?s=A002&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[42, 69, 204, 339]"
A003,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en la planta,"La planta cuenta con un mapa o plano con la ubicación de las fuentes de aprovisionamiento de agua dentro de la explotación y la estructura hídrica, asociada a las diferentes fases de la producción (secado, tiernizado, despepitado, etc.).","Mapa o plano de fuentes de agua e infraestructura hídrica, ya sea digital o en papel.",Foto,https://ciruelacertificada.cl/?s=A003&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[70, 205, 340]"
A004,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en la planta,"La planta capacita a las personas que ejecuten acciones asociadas al ámbito hídrico, abordando acciones operativas que permitan la gestión eficiente del recurso.","Registro de ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",Foto,https://ciruelacertificada.cl/?s=A004&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[43, 71, 206, 341]"
A005,Avanzado,4,Ambiente,Agua,Gestionar los recursos hídricos en la planta,La planta cuenta con un documento que define un plan de gestión del recurso hídrico.,Plan de gestión del recurso hídrico que considere los siguientes indicadores: - Un indicador de eficiencia del uso del agua utilizada (litros de agua/kg ciruela seca). - Una meta de eficiencia del uso del agua en base al indicador propuesto en el punto anterior. - Una propuesta de un porcentaje de reducción del uso del agua (en caso de que no se cumpla con la meta de eficiencia).,Archivo,https://ciruelacertificada.cl/?s=A005&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[1, 72, 207, 342]"
A006,Avanzado,4,Ambiente,Agua,Gestionar los recursos hídricos en la planta,La planta mide la huella de agua corporativa que usa en actividades propias.,Documento que evidencie la medición de huella hídrica en base a la metodología de la norma ISO 14.046.,Archivo,https://ciruelacertificada.cl/?s=A006&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[73, 208, 343]"
A007,Básico,2,Ambiente,Agua,Minimizar las pérdidas de agua en la planta,"La planta cuenta con señalética orientada al ahorro de agua en lugares críticos (servicios higiénicos y de alimentación, zona de lavado de equipos y maquinarias).","Inspección visual de señaléticas de ahorro de agua en servicios higiénicos y de alimentación, zona de lavado de equipos y maquinarias.",Foto,https://ciruelacertificada.cl/?s=A007&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[0, 74, 209, 344]"
A008,Básico,2,Ambiente,Agua,Minimizar las pérdidas de agua en la planta,"La planta realiza revisiones periódicas, mantenciones y reparaciones de la infraestructura hídrica, para controlar las fugas de agua.","Check list o registro de mantención de la infraestructura con los siguientes datos: * Tipo de evento. * Fecha de ejecución. * Equipo o infraestructura. * Detalle de labores. * Empresa y/o responsable. En el caso de que las mantenciones las realice una empresa externa, esta debe entregar un comprobante o informe que certifique las acciones realizadas estén en función de lo solicitado.",Bitácora,https://ciruelacertificada.cl/?s=A008&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[2, 75, 210, 345]"
A009,Básico,2,Ambiente,Agua,Minimizar las pérdidas de agua en la planta,La planta monitorea regularmente las fugas o roturas dentro de su infraestructura hídrica.,Check list o calendarización de monitoreo de comprobación de fugas con la siguiente información. * Tipo de evento. * Fecha de ejecución. * Equipo o infraestructura. * Detalle de labores. * Empresa y/o responsable.,Bitácora,https://ciruelacertificada.cl/?s=A009&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[3, 76, 211, 346]"
A010,Intermedio,3,Ambiente,Agua,Minimizar las pérdidas de agua en la planta,La planta implementa sistemas automáticos de corte de agua en todas las mangueras utilizadas para la limpieza de pisos y en los lavamanos.,"Inspección visual de mangueras y lavamanos, observando sistemas de corte automático.",Foto,https://ciruelacertificada.cl/?s=A010&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-adecuacion-agroindustrial%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[77, 212, 347]"
