standard_code,level,points,dimension,theme,good_practice,action,verification_detail,verification_medium,link,valid_answers,linked_resources
P001,Fundamental,5,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio registra mensualmente el consumo de agua de riego especificando la fuente de abastecimiento y su uso.,"Registro de consumo de agua de riego mensual con especificaciones de la siguiente información:  - Fecha.  - Cultivo.  - Sector o cuartel.  - Fuente de abastecimiento disponible (canal, pozo, suministro de agua potable, red aljibe, etc.).  - Superficie.  - Tiempo de riego.  - Días de riego en la semana.  - Volumen de agua aplicado en el día (litros).  - Volumen de agua acumulado (litros).",Bitácora,https://ciruelacertificada.cl/?s=P001&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[476, 572, 717, 862]"
P002,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en el predio,"El predio capacita a quienes trabajan como tomadores de decisiones en el ámbito hídrico, abordando estrategias para la gestión eficiente del recurso.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada) o certificado de participación en instancias de capacitación externa (cursos, seminarios, congresos, etc.). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",Foto,https://ciruelacertificada.cl/?s=P002&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[547, 573, 718, 863]"
P003,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio cuenta con un mapa con la ubicación de las fuentes de aprovisionamiento de agua dentro de la explotación.,"Mapa o plano de las fuentes de agua, ya sea en digital o en papel.",Foto,https://ciruelacertificada.cl/?s=P003&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[574, 719, 864]"
P004,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en el predio,"El predio capacita a las personas que trabajan en la ejecución de acciones asociadas al riego, abordando acciones operativas que permitan la gestión eficiente del recurso.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",Foto,https://ciruelacertificada.cl/?s=P004&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[548, 575, 720, 865]"
P005,Intermedio,3,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio cuenta con planos de la infraestructura de riego asociada a su producción.,"Plano de equipamiento de riego, ya sea en formato digital o en papel.",Foto,https://ciruelacertificada.cl/?s=P005&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[576, 721, 866]"
P006,Avanzado,4,Ambiente,Agua,Gestionar los recursos hídricos en el predio,"El predio que posee pozo profundo, utiliza instrumentos de medición para registrar su caudal, cumpliendo con el monitoreo de extracciones exigido por la DGA.","Registro del monitoreo de extracciones DGA que cuenta con:  - Datos del titular: Nombre, RUT y dirección del titular de la autorización de extracción.  - Datos de la fuente: Nombre, código y ubicación de la fuente de agua de la que se extrae.  - Datos de la extracción:  * Fecha y hora de inicio y término de la extracción.  * Caudal y/o volumen extraído.  * Nombre y firma de quién realizó la extracción.  - Datos del medidor (Número de serie, fecha de calibración y factor de corrección del medidor de flujo utilizado para medir la extracción).",Archivo,https://ciruelacertificada.cl/?s=P006&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[577, 722, 867]"
P007,Avanzado,4,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio cuenta con un documento que define un plan de gestión del recurso hídrico.,"Plan de gestión del recurso hídrico que considere la siguiente información:  - Indicador de eficiencia del uso del agua utilizada (litros de agua/kg ciruela fresca).  - Meta de eficiencia del uso del agua en base al indicador propuesto en el punto anterior.  - Propuesta de un porcentaje de reducción del uso del agua, en el caso de que no se cumpla con la meta de eficiencia.",Archivo,https://ciruelacertificada.cl/?s=P007&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[474, 578, 723, 868]"
P008,Básico,2,Ambiente,Agua,Minimizar las pérdidas de agua en el predio,El predio monitorea regularmente las fugas o roturas dentro de su infraestructura hídrica.,Check list o calendarización de monitoreo de comprobación de fugas con la siguiente información.  - Tipo de evento.  - Fecha de ejecución.  - Equipo o infraestructura.  - Detalle de labores.  - Responsable.,Bitácora,https://ciruelacertificada.cl/?s=P008&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[480, 579, 724, 869]"
P009,Básico,2,Ambiente,Agua,Minimizar las pérdidas de agua en el predio,"El predio cuenta con señalética orientada al ahorro de agua en lugares críticos (servicios higiénicos y de alimentación, zona de lavado de equipos y maquinarias).","Inspección visual de señaléticas de ahorro de agua en servicios higiénicos y de alimentación, zona de lavado de equipos y maquinarias.",Foto,https://ciruelacertificada.cl/?s=P009&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[473, 580, 725, 870]"
P010,Básico,2,Ambiente,Agua,Minimizar los riesgos de contaminación de aguas,El predio cuenta con fuentes y cursos de agua libres de residuos sólidos domiciliarios y agrícolas.,Inspección visual de fuentes y cursos de agua limpios.,Foto,https://ciruelacertificada.cl/?s=P010&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D,"['Si cumplo', 'No cumplo', 'No cumplo, pero me es factible', 'No aplica a mi sistema productivo']","[581, 726, 871]"
