name,description,format,standard_code
water_consumption,"Cosumo de agua","Fuente de abastecimiento disponible (canal, pozo, suministro de agua potable, red aljibe, etc.)
 Consumo mensual (m3)
 Tipo de uso dentro de la línea de proceso",A001
water_infrastructure_maintenance,"Mantención de infraestructura hídrica","Tipo de evento
 Fecha de ejecución
 Equipo o infraestructura
 Detalle de labores
 Responsable",A008
water_leak_monitoring,"Monitoreo de fugas de agua","Tipo de evento
 Fecha de ejecución
 Equipo o infraestructura
 Detalle de labores
 Responsable",A009
invasive_species_monitoring,"Monitoreo de especies exóticas invasoras","Fecha del hallazgo
 Nombre de la especie
 Ubicación
 N° de individuos visualizados
 Daño provocado
 Medidas de mitigación",A024
potassium_sorbate_or_vegetable_oil_application,"Aplicación de sorbato de potasio o aceites vegetales","Nombre del producto
 N° de lote
 Fase de la producción
 Fecha de aplicación
 Dosis aplicada",A033
energy_consumption,"Consumo energético","Tipo de fuente de energía (diésel, gas, gasolina y/o energía eléctrica)
 Consumo energético mensual (kWhe)
 Gasto en energía ($/mes)",A052
equipment_maintenance,"Mantención de equipos","Tipo de evento
 Fecha de ejecución
 Equipo o infraestructura
 Detalle de labores
 Responsable",A059
plant_labor,"Labores en la planta","Labor
 Fase de la línea de proceso
 Fecha y hora de ejecución
 Persona responsable de su ejecución",A076
water_consumption,"Cosumo de agua","Fecha
 Cultivo
 Sector o cuartel
 Fuente de abastecimiento disponible (canal, pozo, suministro de agua potable, red aljibe, etc.)
 Superficie
 Tiempo de riego
 Días de riego en la semana
 Volumen de agua aplicado en el día (litros)",P001
water_leak_monitoring,"Monitoreo de fugas de agua","Tipo de evento
 Fecha de ejecución
 Equipo o infraestructura
 Detalle de labores
 Responsable",P008
calicata_execution,"Ejecución de calicata","Número o código de calicata
 Fecha de ejecución
 Sector, cuartel o georreferenciación
 Profundidad
 Textura (ej.: arcillosa, arenosa, etc.)
 Resultados obtenidos (nivel de humedad y características del suelo)","P013, P020"
irrigation_equipment_maintenance,"Mantención de equipos de riego","Tipo de evento
 Fecha de ejecución
 Equipo o infraestructura
 Detalle de labores
 Responsable",P015
soil_moisture,"Humedad de suelo","Fecha
 Equipo de riego
 Humedad de suelo o potencial hídrico de la planta, según datos arrojados por el instrumento
 Observaciones
 Responsable",P019
equipment_maintenance,"Mantención de equipos","Tipo de evento
 Fecha de ejecución
 Equipo o infraestructura
 Detalle de labores
 Responsable","P022, P055, P076"
field_labor,"Labores de campo","Fecha y hora
 Sector o cuartel
 Labor ejecutada
 Objetivo de la labor
 Responsable
 Hallazgos (opcional)","P025, P093"
fertilizer_application,"Aplicación de fertilizantes","Fecha y hora de la aplicación
 Sector o cuartel
 Nombre del producto
 Composición (P2O5, K2O o N y otros nutrientes)
 Fertilizante Orgánico (SI/NO)
 Identificación de fertilizantes nitrogenados (SI/NO)
 Dosis
 Método de aplicación
 Responsable","P032, P034, P035"
invasive_species_monitoring,"Monitoreo de especies exóticas invasoras","Fecha del hallazgo
 Nombre de la especie
 Ubicación
 N° de individuos visualizados
 Daño provocado
 Medidas de mitigación",P043
agrochemical_application,"Aplicación de agroquímicos","Fecha y hora
 Temperatura ambiente (opcional)
 Velocidad del viento (opcional)
 Evento de lluvia (SI/NO) (opcional)
 Sector o cuartel
 Nombre del producto
 Color de la etiqueta
 Ingrediente activo
 Dosis
 Método de aplicación
 Objetivo de la aplicación
 Período de carencia
 Periodo de reingreso
 Responsable","P047, P050, P056, P057, P102"
pest_disease_weed_monitoring,"Monitoreo de plagas, enfermedades y malezas","Fecha del hallazgo
 Nombre de la especie
 Ubicación
 N° de individuos visualizados
 Daño provocado
 Umbral de daño máximo
 Medidas de control",P048
energy_consumption,"Consumo energético","Tipo de fuente de energía (diésel, gas, gasolina y/o energía eléctrica)
 Consumo energético mensual (kWhe)
 Gasto en energía ($/mes)",P070
