N°,Código,Nivel,Puntos,Dimensión,Tema,Buena Práctica,Acción,Medio de Verificación,Link
1,P001,Fundamental,5,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio registra mensualmente el consumo de agua de riego especificando la fuente de abastecimiento y su uso.,"Registro de consumo de agua de riego mensual con especificaciones de la siguiente información:  - Fecha.  - Cultivo.  - Sector o cuartel.  - Fuente de abastecimiento disponible (canal, pozo, suministro de agua potable, red aljibe, etc.).  - Superficie.  - Tiempo de riego.  - Días de riego en la semana.  - Volumen de agua aplicado en el día (litros).  - Volumen de agua acumulado (litros).",https://ciruelacertificada.cl/?s=P001&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
2,P002,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en el predio,"El predio capacita a quienes trabajan como tomadores de decisiones en el ámbito hídrico, abordando estrategias para la gestión eficiente del recurso.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo de quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada) o certificado de participación en instancias de capacitación externa (cursos, seminarios, congresos, etc.). Se verifica que al menos una persona atingente al área, haya recibido esta capacitación.",https://ciruelacertificada.cl/?s=P002&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
3,P003,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio cuenta con un mapa con la ubicación de las fuentes de aprovisionamiento de agua dentro de la explotación.,"Mapa o plano de las fuentes de agua, ya sea en digital o en papel.",https://ciruelacertificada.cl/?s=P003&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
4,P004,Básico,2,Ambiente,Agua,Gestionar los recursos hídricos en el predio,"El predio capacita a las personas que trabajan en la ejecución de acciones asociadas al riego, abordando acciones operativas que permitan la gestión eficiente del recurso.","Registro de la ejecución de capacitaciones (lista de asistencia identificando sexo quien participa, tema expuesto, persona que expone, material expuesto, registro fotográfico y certificación entregada).",https://ciruelacertificada.cl/?s=P004&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
5,P005,Intermedio,3,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio cuenta con planos de la infraestructura de riego asociada a su producción.,"Plano de equipamiento de riego, ya sea en formato digital o en papel.",https://ciruelacertificada.cl/?s=P005&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
6,P006,Avanzado,4,Ambiente,Agua,Gestionar los recursos hídricos en el predio,"El predio que posee pozo profundo, utiliza instrumentos de medición para registrar su caudal, cumpliendo con el monitoreo de extracciones exigido por la DGA.","Registro del monitoreo de extracciones DGA que cuenta con:  - Datos del titular: Nombre, RUT y dirección del titular de la autorización de extracción.  - Datos de la fuente: Nombre, código y ubicación de la fuente de agua de la que se extrae.  - Datos de la extracción:  * Fecha y hora de inicio y término de la extracción.  * Caudal y/o volumen extraído.  * Nombre y firma de quién realizó la extracción.  - Datos del medidor (Número de serie, fecha de calibración y factor de corrección del medidor de flujo utilizado para medir la extracción).",https://ciruelacertificada.cl/?s=P006&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
7,P007,Avanzado,4,Ambiente,Agua,Gestionar los recursos hídricos en el predio,El predio cuenta con un documento que define un plan de gestión del recurso hídrico.,"Plan de gestión del recurso hídrico que considere la siguiente información:  - Indicador de eficiencia del uso del agua utilizada (litros de agua/kg ciruela fresca).  - Meta de eficiencia del uso del agua en base al indicador propuesto en el punto anterior.  - Propuesta de un porcentaje de reducción del uso del agua, en el caso de que no se cumpla con la meta de eficiencia.",https://ciruelacertificada.cl/?s=P007&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
8,P008,Básico,2,Ambiente,Agua,Minimizar las pérdidas de agua en el predio,El predio monitorea regularmente las fugas o roturas dentro de su infraestructura hídrica.,Check list o calendarización de monitoreo de comprobación de fugas con la siguiente información.  - Tipo de evento.  - Fecha de ejecución.  - Equipo o infraestructura.  - Detalle de labores.  - Responsable.,https://ciruelacertificada.cl/?s=P008&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
9,P009,Básico,2,Ambiente,Agua,Minimizar las pérdidas de agua en el predio,"El predio cuenta con señalética orientada al ahorro de agua en lugares críticos (servicios higiénicos y de alimentación, zona de lavado de equipos y maquinarias).","Inspección visual de señaléticas de ahorro de agua en servicios higiénicos y de alimentación, zona de lavado de equipos y maquinarias.",https://ciruelacertificada.cl/?s=P009&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
10,P010,Básico,2,Ambiente,Agua,Minimizar los riesgos de contaminación de aguas,El predio cuenta con fuentes y cursos de agua libres de residuos sólidos domiciliarios y agrícolas.,Inspección visual de fuentes y cursos de agua limpios.,https://ciruelacertificada.cl/?s=P010&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
11,P011,Intermedio,3,Ambiente,Agua,Minimizar los riesgos de contaminación de aguas,"El predio cuenta con un espacio específico para el lavado de equipos y maquinarias, alejado de las fuentes o cursos de agua.",Inspección visual de existencia de zona de lavado de equipos que no esté en contacto con el suelo y con vías de evacuación de aguas de lavado.,https://ciruelacertificada.cl/?s=P011&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
12,P012,Intermedio,3,Ambiente,Agua,Monitorear y asegurar la calidad del agua utilizada en el predio,El predio realiza análisis periódicos para evaluar la calidad química y biológica de las fuentes de alimentación de agua.,"Informe de análisis físico-químicos y microbiológicos, actualizados periódicamente según NCH409.",https://ciruelacertificada.cl/?s=P012&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
13,P013,Fundamental,5,Ambiente,Agua,Gestionar eficientemente el riego en el predio,El predio realiza mediciones de humedad de suelo mediante la observación de calicatas.,"Registro que demuestre la ejecución de las calicatas con la siguiente información:  * Número o código.  * Fecha de ejecución.  * Sector, cuartel o georreferenciación.  * Profundidad.  * Textura (ej.: arcillosa, arenosa, etc.).  * Resultados obtenidos (nivel de humedad).",https://ciruelacertificada.cl/?s=P013&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
14,P014,Básico,2,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio utiliza riego tecnificado para el cultivo, como por ejemplo: riego por goteo o microaspersión.",Inspección visual de los equipos de riego utilizados en el predio.,https://ciruelacertificada.cl/?s=P014&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
15,P015,Básico,2,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio realiza mantención a los equipos de riego y fertirriego de manera periódica, al menos una vez en la temporada o con mayor frecuencia si el fabricante lo recomienda.","Check list o registro de mantención de la infraestructura con los siguientes datos:  • Fecha  • Tipo de evento  • Equipo o infraestructura  • Detalle labores  • Responsable  En el caso de que las mantenciones las realice una empresa externa, esta debe entregar un comprobante o informe que certifique que las acciones realizadas estén en función de lo solicitado.",https://ciruelacertificada.cl/?s=P015&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
16,P016,Intermedio,3,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio programa el riego en función del balance hídrico, con el fin de reponer el déficit de humedad el suelo.","Registro del balance hídrico indicando la siguiente información:  - Fecha de evaluación.  - Coeficiente de cultivo (Kc).  - Sector, cuartel o zona homogénea de cultivo.  - Evapotranspiración de referencia (ETo) indicando la fuente de obtención de la información (estación meteorológica propia o datos de portales como http://agroclima.cl/ o https://agrometeorologia.cl/ ).  - Volumen de agua aplicada en el último riego.  - Precipitación efectiva en el periodo.  - Evapotranspiración de cultivo (ETc)  - Balance hídrico (diferencia entre aportes y pérdidas de agua).",https://ciruelacertificada.cl/?s=P016&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
17,P017,Intermedio,3,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio evalúa la uniformidad de la distribución del sistema de riego tecnificado, al menos una vez por temporada e implementa medidas de corrección cuando el coeficiente de uniformidad es menor a 85%.","Registro de la uniformidad de distribución del sistema de riego tecnificado que contemple los siguientes puntos:  * Fecha de evaluación.  * Equipo de riego.  * Sector o cuartel.  * Caudal del equipo (litros/horas).  * Porcentaje de uniformidad.  * Desempeño (excelente, bueno, crítico, inaceptable).  * Medidas correctivas implementadas de ser necesarias.  * Responsable.  En el caso de que esta labor la realice una empresa externa, debe existir un contrato e informe que acredite la realización de las actividades ejecutadas.",https://ciruelacertificada.cl/?s=P017&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
18,P018,Avanzado,4,Ambiente,Agua,Gestionar eficientemente el riego en el predio,El predio implementa tecnologías de riego tecnificado subterráneo.,Inspección visual de los equipos de riego utilizados en el predio.,https://ciruelacertificada.cl/?s=P018&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
19,P019,Avanzado,4,Ambiente,Agua,Gestionar eficientemente el riego en el predio,"El predio realiza mediciones de humedad al suelo o al potencial hídrico de la planta, mediante la utilización de sondas o tecnologías de detección de humedad como por ejemplo: tensiómetros o bombas de presión.","Registro de datos de humedad de suelo, obtenidos con los instrumentos utilizados indicando la siguiente información:  * Fecha.  * Equipo de riego.  * Humedad de suelo o potencial hídrico de la planta, según datos arrojados por el instrumento.  * Observaciones.  * Responsable.  En el caso de que esta labor la realice una empresa externa, debe existir un contrato e informe que acredite la realización de las actividades ejecutadas.",https://ciruelacertificada.cl/?s=P019&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
20,P020,Fundamental,5,Ambiente,Suelo,Planificar el huerto y gestionar el suelo de manera sustentable en el predio,El predio realiza calicatas para analizar las características del suelo.,"Registro que demuestre la ejecución de las calicatas con la siguiente información:  * Número o código.  * Fecha de ejecución.  * Sector, cuartel o georreferenciación.  * Profundidad.  * Textura (ej.: arcillosa, arenosa, etc.).  * Resultados obtenidos con respecto a las características del suelo.",https://ciruelacertificada.cl/?s=P020&jet_ajax_search_settings=%7B%22current_query%22%3A%7B%22taxonomy%22%3A%22estandares-recursos%22%2C%22term%22%3A%22recurso-produccion-primaria%22%7D%2C%22sentence%22%3Atrue%2C%22search_in_taxonomy%22%3Atrue%2C%22search_in_taxonomy_source%22%3A%5B%22elementor_library_category%22%2C%22acciones-relacionadas%22%5D%7D
